testplan,testset,model,correct,correct_answer,answer,question
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","{""answer"": ""/v2/aggs/ticker/NFLX/range/1/day/2024-04-15/2024-04-19""}","How can one retrieve the daily historical prices for Netflix (NFLX) for the past week? Use April 15, 2024 as the start date and April 19, 2024 as the end date."
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
