"test_set","model","correctness","correct","incorrect"
"20240420-1","llama3:70b","0.7059","756","315"
"20240420-1","mixtral:8x22b","0.6565","772","404"
"20240420-1","wizardlm2:8x22b","0.6548","770","406"
"20240420-1","dbrx:132b","0.6147","678","425"
"20240420-1","qwen:32b","0.5791","681","495"
"20240420-1","mixtral:8x7b","0.4906","577","599"
"20240420-1","deepseek-llm:67b","0.4745","558","618"
"20240420-1","qwen:72b","0.4580","535","633"
"20240420-1","gemma:7b-v1.1","0.4379","515","661"
"20240420-1","command-r:35b","0.4235","498","678"
"20240420-1","llama2:70b","0.4009","471","704"
"20240420-1","command-r-plus:104b","0.3876","457","722"
"20240420-1","llama3:8b","0.3771","442","730"
"20240420-1","openchat:7b","0.3571","420","756"
"20240420-1","llama2-uncensored:70b","0.3478","409","767"
"20240420-1","qwen:14b","0.3478","409","767"
"20240420-1","wizardlm2:7b","0.3469","408","768"
"20240420-1","solar:10.7b","0.3350","394","782"
"20240420-1","zephyr:7b","0.3294","388","790"
"20240420-1","deepseek-coder:33b","0.3223","379","797"
"20240420-1","orca2:13b","0.3140","369","806"
"20240420-1","gemma:7b","0.3036","357","819"
"20240420-1","starling-lm:7b","0.2942","346","830"
"20240420-1","mistral:7b","0.2843","334","841"
"20240420-1","llama2:13b","0.2801","330","848"
"20240420-1","mistral:v0.2","0.2795","329","848"
"20240420-1","yi:34b","0.2779","316","821"
"20240420-1","llama2:7b","0.2638","310","865"
"20240420-1","neural-chat:7b","0.2436","286","888"
"20240420-1","codellama:13b","0.2338","275","901"
"20240420-1","deepseek-llm:7b","0.2143","252","924"
"20240420-1","wizardlm-uncensored:13b","0.2143","252","924"
"20240420-1","orca2:7b","0.2085","245","930"
"20240420-1","gemma:2b","0.1352","159","1017"
"20240420-1","llama2-chinese:7b","0.1350","159","1019"
"20240420-1","deepseek-coder:6.7b","0.1241","146","1030"
"20240420-1","llama2-uncensored:7b","0.1224","144","1032"
"20240420-1","yi:6b","0.1115","131","1044"
"20240420-1","qwen:4b","0.0923","77","757"
"20240420-1","gemma:2b-v1.1","0.0910","107","1069"
"20240420-1","phi:2.7b","0.0799","94","1082"
"20240420-1","qwen:1.8b","0.0393","33","807"
"20240420-1","qwen:0.5b","0.0044","4","912"
"20240420-1","deepseek-coder:1.3b","0.0043","5","1168"
"20240420-1","falcon:7b-instruct","0.0017","2","1162"
"20240420-1","qwen-chat:7b","0.0000","0","1176"
