testplan,testset,model,correctness,correct,incorrect
Polygon.io endpoint generation Q&A,Polyg-1,llama3.1:70b,0.835,334,66
Polygon.io endpoint generation Q&A,Polyg-1,llama3:70b,0.8325,333,67
Polygon.io endpoint generation Q&A,Polyg-1,wizardlm2:8x22b,0.8225,329,71
Polygon.io endpoint generation Q&A,Polyg-1,gemma2:9b,0.7975,319,81
Polygon.io endpoint generation Q&A,Polyg-1,yi:34b-v1.5,0.7875,315,85
Polygon.io endpoint generation Q&A,Polyg-1,firefunction-v2:70b,0.785,314,86
Polygon.io endpoint generation Q&A,Polyg-1,qwen2:72b,0.76,304,96
Polygon.io endpoint generation Q&A,Polyg-1,llama3.1:405b-instruct-q2_K,0.76,304,96
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,0.7475,299,101
Polygon.io endpoint generation Q&A,Polyg-1,yi:9b-v1.5,0.7475,299,101
Polygon.io endpoint generation Q&A,Polyg-1,llama3:8b,0.74,296,104
Polygon.io endpoint generation Q&A,Polyg-1,command-r:35b,0.7125,285,115
Polygon.io endpoint generation Q&A,Polyg-1,mixtral:8x7b,0.7025,281,119
Polygon.io endpoint generation Q&A,Polyg-1,mistral:v0.2,0.6975,279,121
Polygon.io endpoint generation Q&A,Polyg-1,reflection:70b,0.67,268,132
Polygon.io endpoint generation Q&A,Polyg-1,mistral-nemo:12b,0.67,268,132
Polygon.io endpoint generation Q&A,Polyg-1,gemma2:2b,0.6525,261,139
Polygon.io endpoint generation Q&A,Polyg-1,glm4:9b,0.6475,259,141
Polygon.io endpoint generation Q&A,Polyg-1,llama3.1:8b,0.6425,257,143
Polygon.io endpoint generation Q&A,Polyg-1,mistral:v0.3,0.6425,257,143
Polygon.io endpoint generation Q&A,Polyg-1,aya:8b,0.64,256,144
Polygon.io endpoint generation Q&A,Polyg-1,gemma2:27b,0.64,256,144
Polygon.io endpoint generation Q&A,Polyg-1,qwen2:7b,0.61,244,156
Polygon.io endpoint generation Q&A,Polyg-1,llama3-chatqa:70b,0.5825,233,167
Polygon.io endpoint generation Q&A,Polyg-1,internlm2:7b,0.56,224,176
Polygon.io endpoint generation Q&A,Polyg-1,mistral-large:123b,0.5525,221,179
Polygon.io endpoint generation Q&A,Polyg-1,phi3.5:3.8b,0.5275,211,189
Polygon.io endpoint generation Q&A,Polyg-1,dbrx:132b,0.5225,209,191
Polygon.io endpoint generation Q&A,Polyg-1,deepseek-v2.5:236b,0.5,200,200
Polygon.io endpoint generation Q&A,Polyg-1,phi3:14b,0.435,174,226
Polygon.io endpoint generation Q&A,Polyg-1,deepseek-v2:236b,0.415,166,234
Polygon.io endpoint generation Q&A,Polyg-1,zephyr:7b,0.3875,155,245
Polygon.io endpoint generation Q&A,Polyg-1,yi:6b-v1.5,0.3725,149,251
Polygon.io endpoint generation Q&A,Polyg-1,mixtral:8x22b,0.3725,149,251
Polygon.io endpoint generation Q&A,Polyg-1,command-r-plus:104b,0.365,146,254
Polygon.io endpoint generation Q&A,Polyg-1,llama3.2:3b,0.1625,65,335
Polygon.io endpoint generation Q&A,Polyg-1,nuextract:3.8b,0.1375,55,345
Polygon.io endpoint generation Q&A,Polyg-1,llama3.2:1b,0.0875,35,365
Polygon.io endpoint generation Q&A,Polyg-1,deepseek-v2:16b,0.0725,29,371
