testplan,testset,model,correctness,correct,incorrect
Basic Financial Q&A,20240425-1,llama3:70b-instruct-q8_0,0.6750,3359,1617
Basic Financial Q&A,20240425-1,llama3:70b-instruct-fp16,0.6706,3363,1652
Basic Financial Q&A,20240425-1,llama3:70b,0.6585,3288,1705
Basic Financial Q&A,20240425-1,mixtral:8x22b-instruct-v0.1-q8_0,0.6406,3235,1815
Basic Financial Q&A,20240425-1,mixtral:8x22b,0.6062,3210,2085
Basic Financial Q&A,20240425-1,wizardlm2:8x22b,0.5940,1996,1364
Basic Financial Q&A,20240425-1,wizardlm2:8x22b-q8_0,0.5925,1989,1368
Basic Financial Q&A,20240425-1,qwen:32b-chat-v1.5-q8_0,0.5671,1429,1091
Basic Financial Q&A,20240425-1,mixtral:8x22b-instruct-v0.1-q2_K,0.5588,1473,1163
Basic Financial Q&A,20240425-1,qwen:32b-chat-v1.5-fp16,0.5552,1399,1121
Basic Financial Q&A,20240425-1,qwen:32b,0.5319,2681,2359
Basic Financial Q&A,20240425-1,dbrx:132b,0.5244,2683,2433
Basic Financial Q&A,20240425-1,llama3:70b-instruct-q2_K,0.5191,1306,1210
Basic Financial Q&A,20240425-1,dolphin-llama3:70b-v2.9,0.5158,865,812
Basic Financial Q&A,20240425-1,mixtral:8x7b-instruct-v0.1-fp16,0.5004,1270,1268
Basic Financial Q&A,20240425-1,mixtral:8x7b-instruct-v0.1-q8_0,0.4983,2786,2805
Basic Financial Q&A,20240425-1,qwen:110b,0.4683,1180,1340
Basic Financial Q&A,20240425-1,mixtral:8x7b,0.4628,3931,4563
Basic Financial Q&A,20240425-1,llama3-gradient:70b-instruct-1048k-q4_0,0.4607,1125,1317
Basic Financial Q&A,20240425-1,qwen:110b-chat-v1.5-q8_0,0.4565,767,913
Basic Financial Q&A,20240425-1,llama3-chatqa:70b,0.4504,1135,1385
Basic Financial Q&A,20240425-1,gemma:7b-instruct-v1.1-q8_0,0.4491,1509,1851
Basic Financial Q&A,20240425-1,gemma:7b-instruct-v1.1-fp16,0.4485,1507,1853
Basic Financial Q&A,20240425-1,qwen:110b-chat-v1.5-q2_K,0.4368,1022,1318
Basic Financial Q&A,20240425-1,deepseek-llm:67b,0.4352,2367,3072
Basic Financial Q&A,20240425-1,gemma:7b-v1.1,0.4164,1399,1961
Basic Financial Q&A,20240425-1,gemma:7b-instruct-v1.1-q2_K,0.3833,644,1036
Basic Financial Q&A,20240425-1,command-r-plus:104b,0.3761,1970,3268
Basic Financial Q&A,20240425-1,llama3:8b-instruct-q8_0,0.3599,1857,3303
Basic Financial Q&A,20240425-1,llama3:8b-instruct-q6_K,0.3590,1857,3316
Basic Financial Q&A,20240425-1,llama3:8b-instruct-fp16,0.3517,1810,3336
Basic Financial Q&A,20240425-1,command-r:35b,0.3475,5073,9526
Basic Financial Q&A,20240425-1,qwen:72b,0.3452,1519,2881
Basic Financial Q&A,20240425-1,llama2:70b,0.3337,1701,3397
Basic Financial Q&A,20240425-1,llama3:8b,0.3314,1715,3460
Basic Financial Q&A,20240425-1,phi3:3.8b-mini-instruct-4k-fp16,0.3196,1158,2465
Basic Financial Q&A,20240425-1,gemma:7b,0.3101,1042,2318
Basic Financial Q&A,20240425-1,mixtral:8x7b-instruct-v0.1-q2_K,0.3066,775,1753
Basic Financial Q&A,20240425-1,wizardlm2:7b-fp16,0.3006,1232,2867
Basic Financial Q&A,20240425-1,phi3:3.8b,0.2971,1116,2640
Basic Financial Q&A,20240425-1,wizardlm2:7b,0.2931,3212,7748
Basic Financial Q&A,20240425-1,starling-lm:7b,0.2884,981,2421
Basic Financial Q&A,20240425-1,wizardlm2:7b-q8_0,0.2884,2699,6658
Basic Financial Q&A,20240425-1,solar:10.7b,0.2818,947,2413
Basic Financial Q&A,20240425-1,qwen:14b,0.2815,946,2414
Basic Financial Q&A,20240425-1,openchat:7b,0.2792,938,2422
Basic Financial Q&A,20240425-1,wizardlm2:7b-q6_K,0.2780,467,1213
Basic Financial Q&A,20240425-1,yi:34b,0.2741,907,2402
Basic Financial Q&A,20240425-1,starling-lm:7b-beta-q8_0,0.2583,868,2492
Basic Financial Q&A,20240425-1,starling-lm:7b-beta-fp16,0.2571,432,1248
Basic Financial Q&A,20240425-1,mistral:7b-instruct-v0.2-fp16,0.2540,920,2702
Basic Financial Q&A,20240425-1,llama2-uncensored:70b,0.2521,847,2513
Basic Financial Q&A,20240425-1,mistral:7b-instruct-v0.2-q8_0,0.2518,846,2514
